Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_Age,Customer_Gender,Region,City,Product_ID,Product_Name,Category,Brand,Quantity,Unit_Price,Unit_Cost,Discount_Percentage,Payment_Method,Customer_Segment,Order_Status,Salesperson
12,2025-04-08,C00012,Daniel Campbell,30,Male,West,Mumbai,P3524,Printer,Electronics,Dell,5,78612,13769,15,UPI,Corporate,Cancelled,Priya
13,2025-07-03,C00013,Amanda Dalton,55,Female,East,Pune,P1067,Laptop,Electronics,Apple,1,59695,10391,0,Debit Card,Consumer,Cancelled,Arun
14,2024-12-23,C00014,Elizabeth Guerrero,48,Female,West,Delhi,P5101,Tablet,Electronics,Apple,3,29487,7729,5,Debit Card,Corporate,Returned,Arun
15,2025-06-02,C00015,Shawn Jennings,38,Female,North,Chennai,P7795,Laptop,Accessories,HP,6,68388,48264,5,Debit Card,Corporate,Returned,Priya
16,2026-02-14,C00016,Brian Stewart,24,,South,Bangalore,P3157,Monitor,Electronics,Apple,7,73439,3297,20,Cash,Consumer,Cancelled,Divya
17,2026-01-03,C00017,Natalie Lee,49,Female,West,Bangalore,P1945,Tablet,Accessories,,9,60093,1199,0,Debit Card,Corporate,Returned,Arun
18,2025-02-28,C00018,Charles Sawyer,50,Male,East,Mumbai,P4934,Mobile,Accessories,HP,5,73771,25955,20,UPI,Corporate,Delivered,Raj
19,2026-01-12,C00019,,23,Female,East,Chennai,P8787,Printer,Electronics,Dell,6,32485,17255,10,Debit Card,Small Business,Returned,Divya
20,2025-01-04,C00020,Edward Watkins,38,Female,West,Chennai,P8438,Mouse,Electronics,HP,8,72492,15670,5,Debit Card,Corporate,Delivered,Kumar
21,2025-11-08,C00021,,45,Female,West,Bangalore,P2371,Mobile,Accessories,Samsung,1,49212,44985,5,Debit Card,Corporate,Pending,Raj
22,2025-02-09,C00022,Rebecca Carroll,21,Male,West,Pune,P5478,Mobile,Electronics,Lenovo,6,744,10966,15,Debit Card,Small Business,Returned,Arun
23,2025-09-30,C00023,Thomas Ballard,53,Female,East,Mumbai,P1942,Laptop,Accessories,HP,3,72162,11071,10,Net Banking,Corporate,Delivered,Raj
24,2025-06-10,C00024,Sarah Adams,21,Male,North,Delhi,P2945,Mobile,Accessories,Logitech,1,28639,41118,0,Debit Card,Small Business,Pending,Kumar
25,2025-11-13,C00025,Frederick Delacruz,59,Female,West,Bangalore,P8262,Keyboard,Electronics,Apple,9,32859,59729,0,Net Banking,Corporate,Returned,Divya
26,2025-07-28,C00026,Shawn Chase,25,Female,North,Bangalore,P1827,Laptop,Electronics,Apple,4,5301,34049,20,Net Banking,Corporate,Pending,Priya
27,2026-02-06,C00027,James Munoz,25,Female,East,Delhi,P8283,Keyboard,Electronics,Logitech,6,68000,50007,0,Debit Card,Consumer,Cancelled,Raj
28,2024-11-10,C00028,Thomas Moore,54,Female,South,Hyderabad,P4328,Mouse,Accessories,Samsung,6,40817,33355,5,Debit Card,Consumer,Delivered,Divya
29,2026-06-05,C00029,Suzanne Garcia,32,Female,North,Bangalore,P1971,Laptop,Accessories,Samsung,9,79613,21198,0,Debit Card,Small Business,Cancelled,Kumar
30,2024-07-24,C00030,Gail Watson,48,Male,East,Bangalore,P5035,Tablet,Accessories,HP,6,46065,56484,0,Cash,Small Business,Delivered,Divya
31,2025-11-26,C00031,Angela Hamilton,35,Male,West,Bangalore,P5304,Tablet,Accessories,Dell,3,33706,2482,0,Credit Card,Consumer,Returned,Divya
32,2025-11-01,C00032,Michael Rasmussen,51,Male,East,Delhi,P6164,Keyboard,Electronics,Logitech,1,29024,21175,5,Credit Card,Consumer,Returned,Divya
33,2025-01-21,C00033,Tommy Clark,45,Female,North,Chennai,P6014,Mouse,Accessories,Samsung,2,2144902,37734,20,Cash,Corporate,Returned,Divya
34,2025-06-16,C00034,Calvin Johnson,22,Female,North,Chennai,P1983,Printer,Accessories,Logitech,2,52502,39491,20,Debit Card,Corporate,Cancelled,Priya
35,2025-10-25,C00035,Amy Mckinney,53,Female,East,Mumbai,P5942,Keyboard,Accessories,Apple,8,21810,13062,0,Debit Card,Small Business,Delivered,Kumar
36,2025-06-08,C00036,Danielle Smith,20,Female,West,Delhi,P5461,Tablet,Electronics,,2,46775,22167,15,Net Banking,Consumer,Delivered,Priya
37,2025-04-16,C00037,Chase Hernandez,30,Female,East,Bangalore,P9537,Monitor,Electronics,Dell,6,13052,29832,20,UPI,Small Business,Pending,Raj
38,2025-05-08,C00038,Carol Hendricks,50,Female,East,Bangalore,P9488,Laptop,Accessories,HP,4,36248,25092,15,Debit Card,Consumer,Cancelled,Priya
39,2025-05-31,C00039,Christina Cox,18,Male,East,Chennai,P7258,Printer,Electronics,Apple,2,55132,18752,5,UPI,Small Business,Cancelled,Arun
40,2025-07-31,C00040,Bryan Morgan,49,Female,East,Bangalore,P8323,Monitor,Accessories,HP,5,77919,8639,20,Cash,Corporate,Returned,Arun
41,2026-02-18,C00041,Heather Haney,35,Female,West,Bangalore,P4959,Monitor,Accessories,HP,9,69303,22798,15,Net Banking,Corporate,Delivered,Kumar
42,2024-07-14,C00042,Ernest Ward,38,Male,West,Pune,P9586,Tablet,Electronics,Lenovo,4,29171,37227,5,UPI,Consumer,Cancelled,Raj
43,2025-02-26,C00043,Stephanie White,58,Male,West,Mumbai,P8135,Mouse,Electronics,Logitech,6,56379,5176,15,Debit Card,Small Business,Pending,Priya
44,2026-03-07,C00044,Jessica Salazar,41,Male,East,Bangalore,P2120,Laptop,Accessories,Samsung,4,25737,31573,20,Cash,Small Business,Pending,Kumar
45,2026-06-04,C00045,Michelle Garcia,34,Female,East,Chennai,P9315,Mobile,Accessories,Dell,6,5723,47078,5,Net Banking,Small Business,Delivered,Arun
46,2025-11-12,C00046,Thomas Mitchell,43,Female,East,Chennai,P8700,  Mouse  ,Accessories,Logitech,9,39944,59654,0,Debit Card,Small Business,Pending,Kumar
47,2026-02-13,C00047,Elizabeth Mayer,24,Female,East,Mumbai,P3684,Mouse,Electronics,Logitech,4,40104,1532,0,Cash,Small Business,Pending,Divya
48,2026-02-03,C00048,Kimberly Brown,36,Female,East,Chennai,P8490,Printer,Electronics,Lenovo,3,53794,15502,15,Net Banking,Corporate,Delivered,Kumar
49,2025-04-22,C00049,Joshua Wong,32,Female,South,Pune,P3961,Mobile,Electronics,Dell,6,71560,26297,0,Credit Card,Consumer,Delivered,Divya
50,2025-12-07,C00050,Cameron Sanchez,58,Male,East,MUMBAI,P6868,  Mouse  ,Electronics,Samsung,9,17740,37037,0,Net Banking,Small Business,Returned,Divya
51,2025-11-05,C00051,Charles Howard,53,Female,East,Bangalore,P5132,Printer,Accessories,Apple,2,21754,57430,10,Credit Card,Corporate,Returned,Raj
52,2025-03-22,C00052,Melissa Hodges,59,Female,East,Bangalore,P9781,Printer,Accessories,HP,6,78065,26192,20,UPI,Corporate,Pending,Kumar
53,2026-01-25,C00053,Dr. Edwin Hill,34,Male,East,Delhi,P5853,Mobile,Accessories,Samsung,3,48737,27864,10,Cash,Small Business,Returned,Priya
54,2026-05-17,C00054,Amy Wright,40,Female,East,Delhi,P1337,Monitor,Electronics,Logitech,5,74104,24514,5,UPI,Corporate,Pending,Priya
55,2024-10-14,C00055,Ethan Owens,26,Male,East,Chennai,P2150,Laptop,Electronics,Dell,7,54994,36957,0,UPI,Small Business,Pending,Priya
56,2026-01-03,C00056,Lori Miller,42,Female,North,Hyderabad,P5792,Mouse,Accessories,Dell,3,75262,19549,15,Credit Card,Consumer,Delivered,Priya
57,2025-03-24,C00057,Kevin Deleon,56,Female,East,Delhi,P5691,Monitor,Accessories,Dell,5,17322,6622,10,Cash,Corporate,Delivered,Kumar
58,2024-08-28,C00058,Billy Torres,43,Female,West,Bangalore,P5045,Printer,Electronics,,2,25739,5521,5,Cash,Small Business,Delivered,Priya
59,2025-03-18,C00059,,44,Female,West,Hyderabad,P8892,Laptop,Accessories,Logitech,8,57306,56498,10,Net Banking,Small Business,Returned,Kumar
60,2026-04-09,C00060,Maria Buck,41,Male,West,Bangalore,P3264,Mobile,Electronics,Samsung,2,54352,32071,20,Credit Card,Corporate,Delivered,Kumar
61,2025-04-02,C00061,Rhonda Arnold,28,Male,North,HYDERABAD,P2584,Monitor,Electronics,,5,54435,34489,5,Cash,Corporate,Returned,Kumar
62,2024-09-22,C00062,Theresa Grant MD,25,Male,North,DELHI,P5774,Mouse,Accessories,Lenovo,9,27409,26723,15,UPI,Consumer,Returned,Arun
63,2026-03-26,C00063,John Harris,53,Male,South,Delhi,P9235,Mouse,Electronics,Logitech,2,54974,18242,0,Credit Card,Small Business,Returned,Kumar
64,2026-04-11,C00064,William Mills,40,Female,West,,P4594,Monitor,Accessories,Samsung,5,36192,56888,20,UPI,Corporate,Delivered,Raj
65,2025-06-18,C00065,,28,Female,South,Mumbai,P2353,Monitor,Accessories,Dell,7,9177,52420,5,Net Banking,Consumer,Pending,Kumar
66,2025-01-18,C00066,Mary Harris,25,Male,East,Mumbai,P8077,Printer,Electronics,Apple,9,31218,18863,15,Debit Card,Corporate,Pending,Raj
67,2025-04-18,C00067,Jennifer Roberts,54,Male,North,Bangalore,P5069,Mouse,Electronics,Dell,1,26798,22130,0,Debit Card,Consumer,Cancelled,Arun
68,2025-10-05,C00068,Jeremy Hartman,48,Male,North,Pune,P3765,Mouse,Accessories,Logitech,8,75282,12898,20,Credit Card,Consumer,Returned,Raj
69,2025-05-30,C00069,Scott Stewart,49,Male,East,Pune,P5061,Mouse,Electronics,Samsung,4,36154,16135,10,UPI,Small Business,Returned,Divya
70,2024-09-21,C00070,Tracey Hill,25,Female,West,Delhi,P4227,,Accessories,Samsung,5,8045,38413,20,Net Banking,Small Business,Cancelled,Raj
71,2025-01-03,C00071,Michael Kennedy,46,Female,West,Mumbai,P5591,Printer,Accessories,Lenovo,3,24351,19906,20,Cash,Small Business,Delivered,Divya
72,2024-08-14,C00072,Casey Snyder,40,Female,East,Mumbai,P7324,Laptop,Accessories,Lenovo,1,53863,58612,10,Card123,Consumer,Pending,Raj
73,2026-06-01,C00073,Rita Bolton,33,Male,West,Chennai,P2525,Laptop,Accessories,Samsung,3,50727,31093,10,Debit Card,Consumer,Pending,Arun
74,2025-07-24,C00074,,54,Male,South,Delhi,P3472,  Keyboard  ,Electronics,Apple,3,49159,1928,15,Net Banking,Corporate,Cancelled,Divya
75,2025-11-14,C00075,Brenda Clark,40,Female,West,Bangalore,P1806,Tablet,Accessories,Lenovo,4,69461,36329,20,UPI,Small Business,Delivered,Kumar
76,2024-08-16,C00076,Lauren Ray,43,Female,West,Mumbai,P4173,Keyboard,Accessories,Dell,3,26854,10118,15,Cash,Consumer,Cancelled,Priya
77,2026-02-24,C00077,William Barron,45,Female,North,Pune,P2768,Monitor,Accessories,Logitech,8,18973,44146,20,Cash,Small Business,Delivered,Priya
78,2025-08-08,C00078,Tina Williamson,26,Female,East,Delhi,P3940,Laptop,Electronics,Apple,2,50011,6693,5,UPI,Corporate,Cancelled,Divya
79,2026-01-02,C00079,Kelli Gibson,33,Male,East,Mumbai,P5741,Keyboard,Accessories,,5,23238,8022,20,Cash,Consumer,Delivered,Raj
80,2026-06-15,C00080,Alex Richards,50,Female,West,Mumbai,P7086,Tablet,Accessories,Lenovo,1,24176,15376,10,Credit Card,Consumer,Delivered,Raj
81,2026-01-20,C00081,Thomas Allen,53,Female,West,Chennai,P4876,Tablet,Electronics,HP,4,21143,16595,0,Credit Card,Corporate,Cancelled,Raj
82,2025-09-03,C00082,Rachel Garner,41,Male,North,Pune,P2088,Keyboard,Electronics,HP,6,64365,17558,20,Net Banking,Consumer,Pending,Raj
83,2025-10-24,C00083,Brittany Kelly,44,Female,West,Chennai,P3652,Mobile,Electronics,Lenovo,3,25964,13048,0,Credit Card,Small Business,Cancelled,Raj
84,2026-01-15,C00084,Douglas Hall,33,Male,North,Delhi,P4181,Printer,Electronics,Dell,5,1324809,12976,5,Credit Card,Small Business,Pending,Raj
85,2026-05-26,C00085,Benjamin Hubbard,49,Female,East,Chennai,P2769,Mouse,Accessories,Apple,5,68137,35984,15,Net Banking,Corporate,Pending,Arun
86,2026-06-05,C00086,Michelle Miller,18,Female,West,Bangalore,P7124,Mobile,Electronics,Dell,6,75124,19021,5,Net Banking,Corporate,Delivered,Kumar
87,2026-04-30,C00087,Renee Dougherty,42,Male,West,Pune,P9532,Tablet,Accessories,Samsung,5,61695,41048,20,UPI,Small Business,Cancelled,Priya
88,2025-11-26,C00088,Jennifer Norton,35,Male,South,Bangalore,P3073,Mobile,Electronics,Apple,7,67139,19071,20,UPI,Consumer,Pending,Priya
89,2025-01-01,C00089,Jessica Mahoney,40,Female,East,Bangalore,P1253,Mobile,Electronics,Apple,5,10846,5313,10,Net Banking,Consumer,Returned,Divya
90,2024-07-05,C00090,Nancy Mccarty,40,Male,East,Hyderabad,P4217,Keyboard,Accessories,HP,9,21854,41370,20,Net Banking,Corporate,Cancelled,Priya
91,2026-04-10,C00091,Robert Lutz,52,Female,West,Chennai,P9862,Keyboard,Electronics,Logitech,6,62690,29085,5,Debit Card,Corporate,Cancelled,Raj
92,2025-02-20,C00092,Ruth Herrera,27,Male,North,Bangalore,P6865,Laptop,Accessories,Dell,9,37451,51631,10,UPI,Corporate,Pending,Arun
93,2025-02-20,C00093,Russell May,32,Male,East,Chennai,P1624,Printer,Electronics,Logitech,5,17024,46629,15,Credit Card,Small Business,Returned,Kumar
94,2025-10-10,C00094,Debbie Miller,57,Male,North,Mumbai,P6673,Laptop,Accessories,Apple,5,21508,25594,0,Cash,Consumer,Returned,Arun
95,2024-11-22,C00095,Joseph Case,51,Male,West,Delhi,P4843,Tablet,Accessories,HP,8,4761,25366,5,Net Banking,Small Business,Delivered,Kumar
96,2025-08-16,C00096,Emily Ramsey,28,Female,East,Pune,P3117,Printer,Accessories,Dell,9,4136,19279,15,UPI,Corporate,Pending,Arun
97,2025-07-25,C00097,Roger Smith,33,Male,North,Pune,P2237,Tablet,Accessories,Dell,6,74103,26726,15,Net Banking,Consumer,Returned,Arun
98,2025-02-12,C00098,Elizabeth Zimmerman,56,Male,North,Hyderabad,P6323,Mobile,Electronics,Logitech,2,43394,29760,0,Credit Card,Corporate,Returned,Raj
99,2024-09-03,C00099,Dustin Wilkerson,43,Female,North,Bangalore,P5600,Laptop,Electronics,Samsung,8,11501,648,10,Cash,Consumer,Cancelled,Kumar
100,2025-02-01,C00100,James Jenkins,41,Female,East,Hyderabad,P2077,Printer,Electronics,Samsung,9,769474,1412,15,UPI,Consumer,Pending,Priya
101,2024-11-25,C00101,Tracy Sanders,58,Female,East,Mumbai,P5682,Printer,Electronics,Lenovo,6,70741,4820,20,Debit Card,Small Business,Pending,Priya
102,2026-01-06,C00102,Melissa Daniel,47,Female,West,Chennai,P4540,Tablet,Accessories,HP,6,77127,22458,15,Credit Card,Small Business,Delivered,Kumar
103,2025-08-25,C00103,Michael Trevino,49,Female,North,Pune,P1208,Laptop,Electronics,Logitech,3,79171,21503,15,Debit Card,Consumer,Returned,Divya
104,2025-10-12,C00104,Donna Allen,31,Male,South,Delhi,P9416,Laptop,Accessories,Samsung,9,52670,22071,15,Net Banking,Small Business,Pending,Arun
105,2024-07-07,C00105,,20,Female,East,Pune,P2012,Laptop,Electronics,Apple,3,4297,46397,5,Debit Card,Consumer,Returned,Kumar
106,2024-10-05,C00106,Charles Hanson,53,Male,East,Chennai,P2603,Printer,Electronics,Apple,4,40120,22607,15,Credit Card,Corporate,Cancelled,Priya
107,2026-01-23,C00107,Jessica Smith,26,Female,East,Bangalore,P1720,Laptop,Electronics,Samsung,6,54251,40668,20,UPI,Consumer,Cancelled,Kumar
108,2024-09-27,C00108,Russell Randall,21,Male,West,Pune,P5213,  Keyboard  ,Electronics,,6,18547,11356,0,Cash,Corporate,Returned,Arun
109,2025-05-31,C00109,Michael Vasquez,48,Male,South,Delhi,P3738,Laptop,Electronics,Samsung,4,68849,51313,10,Net Banking,Consumer,Returned,Kumar
110,2024-10-01,C00110,Rhonda Ramirez,37,Male,South,Hyderabad,P5485,Monitor,Accessories,HP,3,69990,23271,5,Debit Card,Consumer,Pending,Divya
111,2025-07-14,C00111,Robert Trevino,34,Male,South,Hyderabad,P7715,Tablet,Electronics,Dell,2,41964,36519,20,Credit Card,Small Business,Returned,Priya
112,2025-03-04,C00112,Jason Brown,23,Female,West,Hyderabad,P7508,Mouse,Electronics,Logitech,6,30797,21962,0,UPI,Consumer,Pending,Kumar
113,2026-05-18,C00113,Jennifer Austin,37,Male,West,Bangalore,P3066,Mouse,Accessories,Apple,6,48457,26573,15,Net Banking,Corporate,Pending,Raj
114,2024-09-25,C00114,Lauren Hall,55,Male,North,Hyderabad,P6797,Laptop,Electronics,Dell,8,63939,46839,0,Cash,Corporate,Returned,Kumar
115,2024-12-06,C00115,Pamela Mendoza,54,Male,West,CHENNAI,P2341,  Laptop  ,Electronics,Samsung,8,33282,39525,5,UPI,Corporate,Cancelled,Divya
116,2025-02-19,C00116,Dr. Natalie Campbell,57,Female,East,Delhi,P1608,Keyboard,Electronics,,8,77109,40306,5,Net Banking,Corporate,Delivered,Divya
117,2025-09-05,C00117,Julie Dunn,18,Female,West,Bangalore,P6283,Laptop,Electronics,Logitech,6,31952,59705,20,Debit Card,Corporate,Cancelled,Kumar
118,2026-03-09,C00118,David Blake,20,Male,East,Bangalore,P4274,Laptop,Electronics,HP,3,61936,24510,15,Net Banking,Small Business,Returned,Raj
119,2024-07-23,C00119,Sarah Allen,51,Female,West,Mumbai,P2653,Laptop,Accessories,Apple,7,36454,31022,15,Debit Card,Consumer,Pending,Priya
120,2025-02-16,C00120,Richard Duffy,44,Female,East,Bangalore,P2872,Keyboard,Electronics,Logitech,8,77747,52449,0,Debit Card,Consumer,Delivered,Kumar
121,2026-02-11,C00121,Gerald Smith,44,Male,East,Delhi,P4329,Laptop,Accessories,Logitech,3,40734,11755,15,Debit Card,Consumer,Cancelled,Kumar
122,2024-09-15,C00122,,49,Female,West,Hyderabad,P9849,,Electronics,HP,2,10762,21456,0,Debit Card,Corporate,Pending,Divya
123,2026-04-05,C00123,Amy Miller,32,,North,Mumbai,P8365,Tablet,Accessories,Samsung,6,14199,43883,10,Debit Card,Corporate,Pending,Divya
124,2026-06-17,C00124,Marie Howell,54,Male,West,Pune,P3774,Mobile,Electronics,Apple,6,51364,59298,0,Debit Card,Corporate,Cancelled,Divya
125,2024-09-10,C00125,Lisa Larson,48,,East,Delhi,P7152,Tablet,Accessories,Logitech,7,23117,11366,15,UPI,Corporate,Pending,Divya
126,2024-11-14,C00126,Brian Lopez,51,Female,West,Hyderabad,P2764,Mobile,Electronics,Apple,2,2057,3728,0,UPI,Corporate,Pending,Arun
127,2024-06-27,C00127,Alyssa Levine,35,Female,East,Delhi,P4841,Laptop,Accessories,Logitech,7,32189,39974,5,UPI,Corporate,Returned,Raj
128,2025-03-13,C00128,Elizabeth Andersen,33,Female,North,Delhi,P9303,Tablet,Electronics,HP,5,13632,55753,0,Credit Card,Corporate,Cancelled,Arun
129,2024-08-25,C00129,Crystal Parker,43,Female,East,Bangalore,P3117,Monitor,Accessories,Dell,7,31013,12278,0,Net Banking,Small Business,Pending,Priya
130,2025-05-31,C00130,Casey Rogers,23,Female,East,Delhi,P7579,,Accessories,HP,7,588289,20555,5,Cash,Small Business,Cancelled,Priya
131,2025-12-11,C00131,Robert Gibson,-5,Female,South,Pune,P3836,Monitor,Electronics,Dell,8,7833,8739,0,Cash,Small Business,Pending,Priya
132,2025-04-05,C00132,Mario Cline,47,Female,East,Hyderabad,P9685,Mobile,Accessories,,1,36648,4519,15,Cash,Small Business,Returned,Kumar
133,2025-08-29,C00133,Heidi Black,56,Male,East,Bangalore,P5415,Mobile,Electronics,Samsung,3,60586,12225,15,UPI,Corporate,Returned,Arun
134,2024-12-03,C00134,Heather Smith,38,Male,West,Chennai,P8201,Mouse,Electronics,HP,9,36907,42154,20,Cash,Corporate,Returned,Raj
135,2026-01-11,C00135,Richard Gray,39,Female,West,Hyderabad,P7547,Mobile,Accessories,Samsung,1,51147,5253,10,Debit Card,Corporate,Pending,Divya
136,2026-02-23,C00136,Darryl Martinez,28,Male,South,Pune,P2235,Mouse,Electronics,Lenovo,9,49204,58762,15,UPI,Small Business,Delivered,Kumar
137,2026-03-29,C00137,Jacqueline Davis,43,Male,North,Mumbai,P3037,Printer,Accessories,Lenovo,2,10311,2764,10,Crypto,Corporate,Pending,Kumar
138,2025-02-22,C00138,Benjamin Howell,58,Female,West,Bangalore,P5961,Mobile,Accessories,HP,8,50681,31216,0,Net Banking,Small Business,Pending,Arun
139,2025-03-29,C00139,Bryan Day,19,Female,North,Pune,P8263,Keyboard,Electronics,Dell,4,19999,1294,0,Debit Card,Corporate,Returned,Raj
140,2026-04-24,C00140,Elizabeth Rodriguez,49,Female,North,Hyderabad,P8816,Monitor,Accessories,HP,1,44782,48109,0,Net Banking,Small Business,Cancelled,Arun
141,2024-11-27,C00141,Corey Kim II,58,Female,South,Delhi,P2821,Keyboard,Accessories,Samsung,3,33550,42372,5,Cash,Small Business,Delivered,Raj
142,2025-05-19,C00142,Mandy Morales,24,,South,Chennai,P6946,Keyboard,Electronics,Apple,7,8445,15568,0,Credit Card,Consumer,Returned,Divya
143,2025-12-15,C00143,Jonathan Coleman,24,Male,North,Delhi,P2543,Mobile,Electronics,Logitech,5,79976,35306,0,UPI,Corporate,Returned,Raj
144,2025-08-29,C00144,Robin Watts,37,Female,East,Mumbai,P9640,Keyboard,Electronics,Dell,7,31032,13911,20,UPI,Corporate,Pending,Divya
145,2024-11-16,C00145,Michael Reeves,30,Female,West,Chennai,P4617,Tablet,Accessories,Samsung,8,51572,25109,10,Net Banking,Corporate,Pending,Raj
146,2024-10-24,C00146,Austin Brown,31,Female,North,Pune,P4247,Laptop,Accessories,Samsung,8,76318,27661,15,Credit Card,Corporate,Delivered,Priya
147,2024-09-05,C00147,Timothy Reynolds,18,,North,Pune,P8244,Keyboard,Electronics,Lenovo,2,13911,37577,5,UPI,Consumer,Pending,Priya
148,2024-10-02,C00148,Corey Mason,59,Female,West,Pune,P5089,Monitor,Accessories,HP,5,47491,35249,15,Credit Card,Corporate,Returned,Priya
149,2026-06-04,C00149,Elizabeth Mason,44,Male,North,Mumbai,P4458,Mobile,Electronics,HP,6,27565,4904,5,Debit Card,Corporate,Delivered,Priya
150,2025-02-13,C00150,Tyler Henry,51,Male,South,Hyderabad,P6111,Keyboard,Accessories,HP,6,59476,35244,15,Cash,Consumer,Pending,Raj
151,2025-02-18,C00151,Anna Myers,21,Female,North,Mumbai,P5264,  Mobile  ,Electronics,Dell,6,33489,40727,20,Net Banking,Consumer,Pending,Raj
152,2024-07-16,C00152,Frank Dean,25,Female,West,Hyderabad,P6180,Printer,Electronics,Apple,7,3591,36899,0,Cash,Consumer,Pending,Raj
153,2025-01-02,C00153,Dennis Johnson,56,Male,West,,P2395,Tablet,Accessories,Samsung,6,74228,40797,5,Net Banking,Consumer,Returned,Priya
154,2024-10-08,C00154,Kelly Cook,28,Male,South,PUNE,P6089,Mobile,Electronics,Apple,3,9864,16212,5,Debit Card,Consumer,Pending,Priya
155,2025-11-15,C00155,James Thompson,26,Female,South,Delhi,P4443,Monitor,Accessories,Dell,7,44916,33748,5,UPI,Small Business,Pending,Arun
156,2025-09-06,C00156,William Roach,49,Female,South,Delhi,P7875,Tablet,Electronics,HP,7,61137,44116,0,Debit Card,Consumer,Pending,Arun
157,2024-06-29,C00157,,18,Male,East,Delhi,P7811,Printer,Electronics,,7,2346,16635,10,Debit Card,Small Business,Pending,Divya
158,2024-09-21,C00158,John Gonzalez,48,Female,West,Chennai,P6756,Printer,Accessories,Apple,7,44410,12401,5,Debit Card,Corporate,Cancelled,Kumar
159,2024-12-16,C00159,Jerome Ramos,28,Male,South,Pune,P5943,Monitor,Accessories,Dell,1,66056,5382,15,Credit Card,Consumer,Pending,Divya
160,2025-06-29,C00160,Aaron Johnson,48,Female,East,Mumbai,P2034,Tablet,Electronics,HP,6,11528,44488,0,Net Banking,Small Business,Cancelled,Divya
161,2025-08-05,C00161,Daniel Spencer,39,Male,West,Chennai,P3252,Keyboard,Accessories,Lenovo,9,46836,52701,20,UPI,Consumer,Delivered,Kumar
162,2025-09-17,C00162,Cynthia Cohen,30,Female,North,Bangalore,P4529,Mouse,Electronics,Samsung,6,3676,17675,5,UPI,Small Business,Pending,Divya
163,2026-06-03,C00163,William Conner,58,,West,Bangalore,P2444,Monitor,Accessories,HP,8,3659,39126,15,Cash,Consumer,Returned,Kumar
164,2026-05-20,C00164,Victoria Payne,53,Male,South,Chennai,P5994,Mobile,Accessories,Apple,5,49621,21101,10,Debit Card,Small Business,Pending,Arun
165,2024-07-30,C00165,Laura Black,29,Male,East,Chennai,P5565,Laptop,Accessories,Lenovo,8,61952,51322,10,Cash,Consumer,Pending,Raj
166,2025-08-21,C00166,Jeff Hicks,43,Female,West,Hyderabad,P1027,Mouse,Accessories,,4,57938,14806,5,UPI,Corporate,Delivered,Kumar
167,2025-12-29,C00167,Joseph Hayes,50,,South,Chennai,P1359,Mobile,Electronics,HP,6,8519,23566,5,Net Banking,Consumer,Delivered,Priya
168,2026-06-14,C00168,Garrett Hicks,55,Male,South,Bangalore,P2251,Keyboard,Electronics,HP,4,31029,14737,5,Cash,Corporate,Pending,Kumar
169,2025-10-08,C00169,David Hodge,43,Female,West,Bangalore,P2390,Mouse,Electronics,HP,9,50095,54753,5,Credit Card,Corporate,Pending,Priya
170,2024-07-15,C00170,Anthony Hernandez,33,Male,West,Chennai,P2933,Mobile,Accessories,Logitech,3,27204,51420,10,Cash,Small Business,Returned,Arun
