Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_Age,Customer_Gender,Region,City,Product_ID,Product_Name,Category,Brand,Quantity,Unit_Price,Unit_Cost,Discount_Percentage,Payment_Method,Customer_Segment,Order_Status,Salesperson,Revenue,Profit,Profit_Margin,Order_Year,Order_Month,Month_Name,Quater,Day_Name,Average_Order_Value
29,2026-06-05,C00029,Suzanne Garcia,32,Female,North,Bangalore,P1971,Laptop,Accessories,Samsung,9,79613,21198,0,Debit Card,Small Business,Cancelled,Kumar,716517,695319,0.97,2026.0,6.0,June,2.0,Friday,79613.0
30,2024-07-24,C00030,Gail Watson,48,Male,East,Bangalore,P5035,Tablet,Accessories,HP,6,46065,56484,0,Cash,Small Business,Delivered,Divya,276390,219906,0.8,2024.0,7.0,July,3.0,Wednesday,46065.0
31,2025-11-26,C00031,Angela Hamilton,35,Male,West,Bangalore,P5304,Tablet,Accessories,Dell,3,33706,2482,0,Credit Card,Consumer,Returned,Divya,101118,98636,0.98,2025.0,11.0,November,4.0,Wednesday,33706.0
32,2025-11-01,C00032,Michael Rasmussen,51,Male,East,Delhi,P6164,Keyboard,Electronics,Logitech,1,29024,21175,5,Credit Card,Consumer,Returned,Divya,29024,7849,0.27,2025.0,11.0,November,4.0,Saturday,29024.0
33,2025-01-21,C00033,Tommy Clark,45,Female,North,Chennai,P6014,Mouse,Accessories,Samsung,2,2144902,37734,20,Cash,Corporate,Returned,Divya,4289804,4252070,0.99,2025.0,1.0,January,1.0,Tuesday,2144902.0
34,2025-06-16,C00034,Calvin Johnson,22,Female,North,Chennai,P1983,Printer,Accessories,Logitech,2,52502,39491,20,Debit Card,Corporate,Cancelled,Priya,105004,65513,0.62,2025.0,6.0,June,2.0,Monday,52502.0
35,2025-10-25,C00035,Amy Mckinney,53,Female,East,Mumbai,P5942,Keyboard,Accessories,Apple,8,21810,13062,0,Debit Card,Small Business,Delivered,Kumar,174480,161418,0.93,2025.0,10.0,October,4.0,Saturday,21810.0
36,2025-06-08,C00036,Danielle Smith,20,Female,West,Delhi,P5461,Tablet,Electronics,Unknown Brand,2,46775,22167,15,Net Banking,Consumer,Delivered,Priya,93550,71383,0.76,2025.0,6.0,June,2.0,Sunday,46775.0
37,2025-04-16,C00037,Chase Hernandez,30,Female,East,Bangalore,P9537,Monitor,Electronics,Dell,6,13052,29832,20,UPI,Small Business,Pending,Raj,78312,48480,0.62,2025.0,4.0,April,2.0,Wednesday,13052.0
38,2025-05-08,C00038,Carol Hendricks,50,Female,East,Bangalore,P9488,Laptop,Accessories,HP,4,36248,25092,15,Debit Card,Consumer,Cancelled,Priya,144992,119900,0.83,2025.0,5.0,May,2.0,Thursday,36248.0
39,2025-05-31,C00039,Christina Cox,18,Male,East,Chennai,P7258,Printer,Electronics,Apple,2,55132,18752,5,UPI,Small Business,Cancelled,Arun,110264,91512,0.83,2025.0,5.0,May,2.0,Saturday,55132.0
40,2025-07-31,C00040,Bryan Morgan,49,Female,East,Bangalore,P8323,Monitor,Accessories,HP,5,77919,8639,20,Cash,Corporate,Returned,Arun,389595,380956,0.98,2025.0,7.0,July,3.0,Thursday,77919.0
41,2026-02-18,C00041,Heather Haney,35,Female,West,Bangalore,P4959,Monitor,Accessories,HP,9,69303,22798,15,Net Banking,Corporate,Delivered,Kumar,623727,600929,0.96,2026.0,2.0,February,1.0,Wednesday,69303.0
42,2024-07-14,C00042,Ernest Ward,38,Male,West,Pune,P9586,Tablet,Electronics,Lenovo,4,29171,37227,5,UPI,Consumer,Cancelled,Raj,116684,79457,0.68,2024.0,7.0,July,3.0,Sunday,29171.0
43,2025-02-26,C00043,Stephanie White,58,Male,West,Mumbai,P8135,Mouse,Electronics,Logitech,6,56379,5176,15,Debit Card,Small Business,Pending,Priya,338274,333098,0.98,2025.0,2.0,February,1.0,Wednesday,56379.0
44,2026-03-07,C00044,Jessica Salazar,41,Male,East,Bangalore,P2120,Laptop,Accessories,Samsung,4,25737,31573,20,Cash,Small Business,Pending,Kumar,102948,71375,0.69,2026.0,3.0,March,1.0,Saturday,25737.0
45,2026-06-04,C00045,Michelle Garcia,34,Female,East,Chennai,P9315,Mobile,Accessories,Dell,6,5723,47078,5,Net Banking,Small Business,Delivered,Arun,34338,-12740,-0.37,2026.0,6.0,June,2.0,Thursday,5723.0
46,2025-11-12,C00046,Thomas Mitchell,43,Female,East,Chennai,P8700,  Mouse  ,Accessories,Logitech,9,39944,59654,0,Debit Card,Small Business,Pending,Kumar,359496,299842,0.83,2025.0,11.0,November,4.0,Wednesday,39944.0
47,2026-02-13,C00047,Elizabeth Mayer,24,Female,East,Mumbai,P3684,Mouse,Electronics,Logitech,4,40104,1532,0,Cash,Small Business,Pending,Divya,160416,158884,0.99,2026.0,2.0,February,1.0,Friday,40104.0
48,2026-02-03,C00048,Kimberly Brown,36,Female,East,Chennai,P8490,Printer,Electronics,Lenovo,3,53794,15502,15,Net Banking,Corporate,Delivered,Kumar,161382,145880,0.9,2026.0,2.0,February,1.0,Tuesday,53794.0
49,2025-04-22,C00049,Joshua Wong,32,Female,South,Pune,P3961,Mobile,Electronics,Dell,6,71560,26297,0,Credit Card,Consumer,Delivered,Divya,429360,403063,0.94,2025.0,4.0,April,2.0,Tuesday,71560.0
50,2025-12-07,C00050,Cameron Sanchez,58,Male,East,MUMBAI,P6868,  Mouse  ,Electronics,Samsung,9,17740,37037,0,Net Banking,Small Business,Returned,Divya,159660,122623,0.77,2025.0,12.0,December,4.0,Sunday,17740.0
51,2025-11-05,C00051,Charles Howard,53,Female,East,Bangalore,P5132,Printer,Accessories,Apple,2,21754,57430,10,Credit Card,Corporate,Returned,Raj,43508,-13922,-0.32,2025.0,11.0,November,4.0,Wednesday,21754.0
52,2025-03-22,C00052,Melissa Hodges,59,Female,East,Bangalore,P9781,Printer,Accessories,HP,6,78065,26192,20,UPI,Corporate,Pending,Kumar,468390,442198,0.94,2025.0,3.0,March,1.0,Saturday,78065.0
53,2026-01-25,C00053,Dr. Edwin Hill,34,Male,East,Delhi,P5853,Mobile,Accessories,Samsung,3,48737,27864,10,Cash,Small Business,Returned,Priya,146211,118347,0.81,2026.0,1.0,January,1.0,Sunday,48737.0
54,2026-05-17,C00054,Amy Wright,40,Female,East,Delhi,P1337,Monitor,Electronics,Logitech,5,74104,24514,5,UPI,Corporate,Pending,Priya,370520,346006,0.93,2026.0,5.0,May,2.0,Sunday,74104.0
55,2024-10-14,C00055,Ethan Owens,26,Male,East,Chennai,P2150,Laptop,Electronics,Dell,7,54994,36957,0,UPI,Small Business,Pending,Priya,384958,348001,0.9,2024.0,10.0,October,4.0,Monday,54994.0
56,2026-01-03,C00056,Lori Miller,42,Female,North,Hyderabad,P5792,Mouse,Accessories,Dell,3,75262,19549,15,Credit Card,Consumer,Delivered,Priya,225786,206237,0.91,2026.0,1.0,January,1.0,Saturday,75262.0
57,2025-03-24,C00057,Kevin Deleon,56,Female,East,Delhi,P5691,Monitor,Accessories,Dell,5,17322,6622,10,Cash,Corporate,Delivered,Kumar,86610,79988,0.92,2025.0,3.0,March,1.0,Monday,17322.0
58,2024-08-28,C00058,Billy Torres,43,Female,West,Bangalore,P5045,Printer,Electronics,Unknown Brand,2,25739,5521,5,Cash,Small Business,Delivered,Priya,51478,45957,0.89,2024.0,8.0,August,3.0,Wednesday,25739.0
59,2025-03-18,C00059,Unknown Customer,44,Female,West,Hyderabad,P8892,Laptop,Accessories,Logitech,8,57306,56498,10,Net Banking,Small Business,Returned,Kumar,458448,401950,0.88,2025.0,3.0,March,1.0,Tuesday,57306.0
60,2026-04-09,C00060,Maria Buck,41,Male,West,Bangalore,P3264,Mobile,Electronics,Samsung,2,54352,32071,20,Credit Card,Corporate,Delivered,Kumar,108704,76633,0.7,2026.0,4.0,April,2.0,Thursday,54352.0
61,2025-04-02,C00061,Rhonda Arnold,28,Male,North,HYDERABAD,P2584,Monitor,Electronics,Unknown Brand,5,54435,34489,5,Cash,Corporate,Returned,Kumar,272175,237686,0.87,2025.0,4.0,April,2.0,Wednesday,54435.0
62,2024-09-22,C00062,Theresa Grant MD,25,Male,North,DELHI,P5774,Mouse,Accessories,Lenovo,9,27409,26723,15,UPI,Consumer,Returned,Arun,246681,219958,0.89,2024.0,9.0,September,3.0,Sunday,27409.0
63,2026-03-26,C00063,John Harris,53,Male,South,Delhi,P9235,Mouse,Electronics,Logitech,2,54974,18242,0,Credit Card,Small Business,Returned,Kumar,109948,91706,0.83,2026.0,3.0,March,1.0,Thursday,54974.0
64,2026-04-11,C00064,William Mills,40,Female,West,Unknown City,P4594,Monitor,Accessories,Samsung,5,36192,56888,20,UPI,Corporate,Delivered,Raj,180960,124072,0.69,2026.0,4.0,April,2.0,Saturday,36192.0
65,2025-06-18,C00065,Unknown Customer,28,Female,South,Mumbai,P2353,Monitor,Accessories,Dell,7,9177,52420,5,Net Banking,Consumer,Pending,Kumar,64239,11819,0.18,2025.0,6.0,June,2.0,Wednesday,9177.0
66,2025-01-18,C00066,Mary Harris,25,Male,East,Mumbai,P8077,Printer,Electronics,Apple,9,31218,18863,15,Debit Card,Corporate,Pending,Raj,280962,262099,0.93,2025.0,1.0,January,1.0,Saturday,31218.0
67,2025-04-18,C00067,Jennifer Roberts,54,Male,North,Bangalore,P5069,Mouse,Electronics,Dell,1,26798,22130,0,Debit Card,Consumer,Cancelled,Arun,26798,4668,0.17,2025.0,4.0,April,2.0,Friday,26798.0
68,2025-10-05,C00068,Jeremy Hartman,48,Male,North,Pune,P3765,Mouse,Accessories,Logitech,8,75282,12898,20,Credit Card,Consumer,Returned,Raj,602256,589358,0.98,2025.0,10.0,October,4.0,Sunday,75282.0
69,2025-05-30,C00069,Scott Stewart,49,Male,East,Pune,P5061,Mouse,Electronics,Samsung,4,36154,16135,10,UPI,Small Business,Returned,Divya,144616,128481,0.89,2025.0,5.0,May,2.0,Friday,36154.0
70,2024-09-21,C00070,Tracey Hill,25,Female,West,Delhi,P4227,Unknown Product,Accessories,Samsung,5,8045,38413,20,Net Banking,Small Business,Cancelled,Raj,40225,1812,0.05,2024.0,9.0,September,3.0,Saturday,8045.0
71,2025-01-03,C00071,Michael Kennedy,46,Female,West,Mumbai,P5591,Printer,Accessories,Lenovo,3,24351,19906,20,Cash,Small Business,Delivered,Divya,73053,53147,0.73,2025.0,1.0,January,1.0,Friday,24351.0
72,2024-08-14,C00072,Casey Snyder,40,Female,East,Mumbai,P7324,Laptop,Accessories,Lenovo,1,53863,58612,10,Card123,Consumer,Pending,Raj,53863,-4749,-0.09,2024.0,8.0,August,3.0,Wednesday,53863.0
73,2026-06-01,C00073,Rita Bolton,33,Male,West,Chennai,P2525,Laptop,Accessories,Samsung,3,50727,31093,10,Debit Card,Consumer,Pending,Arun,152181,121088,0.8,2026.0,6.0,June,2.0,Monday,50727.0
74,2025-07-24,C00074,Unknown Customer,54,Male,South,Delhi,P3472,  Keyboard  ,Electronics,Apple,3,49159,1928,15,Net Banking,Corporate,Cancelled,Divya,147477,145549,0.99,2025.0,7.0,July,3.0,Thursday,49159.0
75,2025-11-14,C00075,Brenda Clark,40,Female,West,Bangalore,P1806,Tablet,Accessories,Lenovo,4,69461,36329,20,UPI,Small Business,Delivered,Kumar,277844,241515,0.87,2025.0,11.0,November,4.0,Friday,69461.0
76,2024-08-16,C00076,Lauren Ray,43,Female,West,Mumbai,P4173,Keyboard,Accessories,Dell,3,26854,10118,15,Cash,Consumer,Cancelled,Priya,80562,70444,0.87,2024.0,8.0,August,3.0,Friday,26854.0
77,2026-02-24,C00077,William Barron,45,Female,North,Pune,P2768,Monitor,Accessories,Logitech,8,18973,44146,20,Cash,Small Business,Delivered,Priya,151784,107638,0.71,2026.0,2.0,February,1.0,Tuesday,18973.0
78,2025-08-08,C00078,Tina Williamson,26,Female,East,Delhi,P3940,Laptop,Electronics,Apple,2,50011,6693,5,UPI,Corporate,Cancelled,Divya,100022,93329,0.93,2025.0,8.0,August,3.0,Friday,50011.0
79,2026-01-02,C00079,Kelli Gibson,33,Male,East,Mumbai,P5741,Keyboard,Accessories,Unknown Brand,5,23238,8022,20,Cash,Consumer,Delivered,Raj,116190,108168,0.93,2026.0,1.0,January,1.0,Friday,23238.0
80,2026-06-15,C00080,Alex Richards,50,Female,West,Mumbai,P7086,Tablet,Accessories,Lenovo,1,24176,15376,10,Credit Card,Consumer,Delivered,Raj,24176,8800,0.36,2026.0,6.0,June,2.0,Monday,24176.0
81,2026-01-20,C00081,Thomas Allen,53,Female,West,Chennai,P4876,Tablet,Electronics,HP,4,21143,16595,0,Credit Card,Corporate,Cancelled,Raj,84572,67977,0.8,2026.0,1.0,January,1.0,Tuesday,21143.0
82,2025-09-03,C00082,Rachel Garner,41,Male,North,Pune,P2088,Keyboard,Electronics,HP,6,64365,17558,20,Net Banking,Consumer,Pending,Raj,386190,368632,0.95,2025.0,9.0,September,3.0,Wednesday,64365.0
83,2025-10-24,C00083,Brittany Kelly,44,Female,West,Chennai,P3652,Mobile,Electronics,Lenovo,3,25964,13048,0,Credit Card,Small Business,Cancelled,Raj,77892,64844,0.83,2025.0,10.0,October,4.0,Friday,25964.0
84,2026-01-15,C00084,Douglas Hall,33,Male,North,Delhi,P4181,Printer,Electronics,Dell,5,1324809,12976,5,Credit Card,Small Business,Pending,Raj,6624045,6611069,1.0,2026.0,1.0,January,1.0,Thursday,1324809.0
85,2026-05-26,C00085,Benjamin Hubbard,49,Female,East,Chennai,P2769,Mouse,Accessories,Apple,5,68137,35984,15,Net Banking,Corporate,Pending,Arun,340685,304701,0.89,2026.0,5.0,May,2.0,Tuesday,68137.0
86,2026-06-05,C00086,Michelle Miller,18,Female,West,Bangalore,P7124,Mobile,Electronics,Dell,6,75124,19021,5,Net Banking,Corporate,Delivered,Kumar,450744,431723,0.96,2026.0,6.0,June,2.0,Friday,75124.0
87,2026-04-30,C00087,Renee Dougherty,42,Male,West,Pune,P9532,Tablet,Accessories,Samsung,5,61695,41048,20,UPI,Small Business,Cancelled,Priya,308475,267427,0.87,2026.0,4.0,April,2.0,Thursday,61695.0
88,2025-11-26,C00088,Jennifer Norton,35,Male,South,Bangalore,P3073,Mobile,Electronics,Apple,7,67139,19071,20,UPI,Consumer,Pending,Priya,469973,450902,0.96,2025.0,11.0,November,4.0,Wednesday,67139.0
89,2025-01-01,C00089,Jessica Mahoney,40,Female,East,Bangalore,P1253,Mobile,Electronics,Apple,5,10846,5313,10,Net Banking,Consumer,Returned,Divya,54230,48917,0.9,2025.0,1.0,January,1.0,Wednesday,10846.0
90,2024-07-05,C00090,Nancy Mccarty,40,Male,East,Hyderabad,P4217,Keyboard,Accessories,HP,9,21854,41370,20,Net Banking,Corporate,Cancelled,Priya,196686,155316,0.79,2024.0,7.0,July,3.0,Friday,21854.0
91,2026-04-10,C00091,Robert Lutz,52,Female,West,Chennai,P9862,Keyboard,Electronics,Logitech,6,62690,29085,5,Debit Card,Corporate,Cancelled,Raj,376140,347055,0.92,2026.0,4.0,April,2.0,Friday,62690.0
92,2025-02-20,C00092,Ruth Herrera,27,Male,North,Bangalore,P6865,Laptop,Accessories,Dell,9,37451,51631,10,UPI,Corporate,Pending,Arun,337059,285428,0.85,2025.0,2.0,February,1.0,Thursday,37451.0
93,2025-02-20,C00093,Russell May,32,Male,East,Chennai,P1624,Printer,Electronics,Logitech,5,17024,46629,15,Credit Card,Small Business,Returned,Kumar,85120,38491,0.45,2025.0,2.0,February,1.0,Thursday,17024.0
94,2025-10-10,C00094,Debbie Miller,57,Male,North,Mumbai,P6673,Laptop,Accessories,Apple,5,21508,25594,0,Cash,Consumer,Returned,Arun,107540,81946,0.76,2025.0,10.0,October,4.0,Friday,21508.0
95,2024-11-22,C00095,Joseph Case,51,Male,West,Delhi,P4843,Tablet,Accessories,HP,8,4761,25366,5,Net Banking,Small Business,Delivered,Kumar,38088,12722,0.33,2024.0,11.0,November,4.0,Friday,4761.0
96,2025-08-16,C00096,Emily Ramsey,28,Female,East,Pune,P3117,Printer,Accessories,Dell,9,4136,19279,15,UPI,Corporate,Pending,Arun,37224,17945,0.48,2025.0,8.0,August,3.0,Saturday,4136.0
97,2025-07-25,C00097,Roger Smith,33,Male,North,Pune,P2237,Tablet,Accessories,Dell,6,74103,26726,15,Net Banking,Consumer,Returned,Arun,444618,417892,0.94,2025.0,7.0,July,3.0,Friday,74103.0
98,2025-02-12,C00098,Elizabeth Zimmerman,56,Male,North,Hyderabad,P6323,Mobile,Electronics,Logitech,2,43394,29760,0,Credit Card,Corporate,Returned,Raj,86788,57028,0.66,2025.0,2.0,February,1.0,Wednesday,43394.0
99,2024-09-03,C00099,Dustin Wilkerson,43,Female,North,Bangalore,P5600,Laptop,Electronics,Samsung,8,11501,648,10,Cash,Consumer,Cancelled,Kumar,92008,91360,0.99,2024.0,9.0,September,3.0,Tuesday,11501.0
100,2025-02-01,C00100,James Jenkins,41,Female,East,Hyderabad,P2077,Printer,Electronics,Samsung,9,769474,1412,15,UPI,Consumer,Pending,Priya,6925266,6923854,1.0,2025.0,2.0,February,1.0,Saturday,769474.0
101,2024-11-25,C00101,Tracy Sanders,58,Female,East,Mumbai,P5682,Printer,Electronics,Lenovo,6,70741,4820,20,Debit Card,Small Business,Pending,Priya,424446,419626,0.99,2024.0,11.0,November,4.0,Monday,70741.0
102,2026-01-06,C00102,Melissa Daniel,47,Female,West,Chennai,P4540,Tablet,Accessories,HP,6,77127,22458,15,Credit Card,Small Business,Delivered,Kumar,462762,440304,0.95,2026.0,1.0,January,1.0,Tuesday,77127.0
103,2025-08-25,C00103,Michael Trevino,49,Female,North,Pune,P1208,Laptop,Electronics,Logitech,3,79171,21503,15,Debit Card,Consumer,Returned,Divya,237513,216010,0.91,2025.0,8.0,August,3.0,Monday,79171.0
104,2025-10-12,C00104,Donna Allen,31,Male,South,Delhi,P9416,Laptop,Accessories,Samsung,9,52670,22071,15,Net Banking,Small Business,Pending,Arun,474030,451959,0.95,2025.0,10.0,October,4.0,Sunday,52670.0
105,2024-07-07,C00105,Unknown Customer,20,Female,East,Pune,P2012,Laptop,Electronics,Apple,3,4297,46397,5,Debit Card,Consumer,Returned,Kumar,12891,-33506,-2.6,2024.0,7.0,July,3.0,Sunday,4297.0
106,2024-10-05,C00106,Charles Hanson,53,Male,East,Chennai,P2603,Printer,Electronics,Apple,4,40120,22607,15,Credit Card,Corporate,Cancelled,Priya,160480,137873,0.86,2024.0,10.0,October,4.0,Saturday,40120.0
107,2026-01-23,C00107,Jessica Smith,26,Female,East,Bangalore,P1720,Laptop,Electronics,Samsung,6,54251,40668,20,UPI,Consumer,Cancelled,Kumar,325506,284838,0.88,2026.0,1.0,January,1.0,Friday,54251.0
108,2024-09-27,C00108,Russell Randall,21,Male,West,Pune,P5213,  Keyboard  ,Electronics,Unknown Brand,6,18547,11356,0,Cash,Corporate,Returned,Arun,111282,99926,0.9,2024.0,9.0,September,3.0,Friday,18547.0
109,2025-05-31,C00109,Michael Vasquez,48,Male,South,Delhi,P3738,Laptop,Electronics,Samsung,4,68849,51313,10,Net Banking,Consumer,Returned,Kumar,275396,224083,0.81,2025.0,5.0,May,2.0,Saturday,68849.0
110,2024-10-01,C00110,Rhonda Ramirez,37,Male,South,Hyderabad,P5485,Monitor,Accessories,HP,3,69990,23271,5,Debit Card,Consumer,Pending,Divya,209970,186699,0.89,2024.0,10.0,October,4.0,Tuesday,69990.0
111,2025-07-14,C00111,Robert Trevino,34,Male,South,Hyderabad,P7715,Tablet,Electronics,Dell,2,41964,36519,20,Credit Card,Small Business,Returned,Priya,83928,47409,0.56,2025.0,7.0,July,3.0,Monday,41964.0
112,2025-03-04,C00112,Jason Brown,23,Female,West,Hyderabad,P7508,Mouse,Electronics,Logitech,6,30797,21962,0,UPI,Consumer,Pending,Kumar,184782,162820,0.88,2025.0,3.0,March,1.0,Tuesday,30797.0
113,2026-05-18,C00113,Jennifer Austin,37,Male,West,Bangalore,P3066,Mouse,Accessories,Apple,6,48457,26573,15,Net Banking,Corporate,Pending,Raj,290742,264169,0.91,2026.0,5.0,May,2.0,Monday,48457.0
114,2024-09-25,C00114,Lauren Hall,55,Male,North,Hyderabad,P6797,Laptop,Electronics,Dell,8,63939,46839,0,Cash,Corporate,Returned,Kumar,511512,464673,0.91,2024.0,9.0,September,3.0,Wednesday,63939.0
115,2024-12-06,C00115,Pamela Mendoza,54,Male,West,CHENNAI,P2341,  Laptop  ,Electronics,Samsung,8,33282,39525,5,UPI,Corporate,Cancelled,Divya,266256,226731,0.85,2024.0,12.0,December,4.0,Friday,33282.0
116,2025-02-19,C00116,Dr. Natalie Campbell,57,Female,East,Delhi,P1608,Keyboard,Electronics,Unknown Brand,8,77109,40306,5,Net Banking,Corporate,Delivered,Divya,616872,576566,0.93,2025.0,2.0,February,1.0,Wednesday,77109.0
